ID;Origem;Modal;Segmento
2437814;AutoCadastro;MOTORCYCLE;Fiel
1320521;AutoCadastro;MOTORCYCLE;Fiel
1038182;AutoCadastro;MOTORCYCLE;Fiel
628449;AutoCadastro;MOTORCYCLE;Fiel
2463733;AutoCadastro;CAR;Desistiu
1787219;AutoCadastro;MOTORCYCLE;Fiel
7727;EmpresaParceira;BIKE;Desistiu
1047871;AutoCadastro;BIKE;Desistiu
507082;AutoCadastro;MOTORCYCLE;Fiel
1154;EmpresaParceira;CAR;Desistiu
76231;AutoCadastro;MOTORCYCLE;Novo
8653598;EmpresaParceira;BIKE;Novo
1293929;AutoCadastro;MOTORCYCLE;Desistiu
111219;AutoCadastro;MOTORCYCLE;Fiel
907;EmpresaParceira;BIKE;Novo
1093532;AutoCadastro;MOTORCYCLE;Desistiu
1712748;EmpresaParceira;BIKE;Novo
73865;AutoCadastro;MOTORCYCLE;Desistiu
2700890;AutoCadastro;MOTORCYCLE;Desistiu
6797;EmpresaParceira;BIKE;Novo
2684843;EmpresaParceira;CAR;Desistiu
2211376;EmpresaParceira;MOTORCYCLE;Fiel
279260;AutoCadastro;MOTORCYCLE;Fiel
1567211;AutoCadastro;BIKE;Desistiu
5884109;EmpresaParceira;BIKE;Novo
93498;AutoCadastro;MOTORCYCLE;Desistiu
136;EmpresaParceira;CAR;Desistiu
490484;EmpresaParceira;MOTORCYCLE;Desistiu
2600907;EmpresaParceira;CAR;Desistiu
588966;AutoCadastro;MOTORCYCLE;Fiel
426224;AutoCadastro;MOTORCYCLE;Fiel
36987;EmpresaParceira;MOTORCYCLE;Desistiu
1961217;EmpresaParceira;MOTORCYCLE;Fiel
708898;AutoCadastro;BIKE;Novo
1252058;AutoCadastro;MOTORCYCLE;Fiel
1344755;AutoCadastro;MOTORCYCLE;Fiel
2665765;EmpresaParceira;MOTORCYCLE;Fiel
5238;EmpresaParceira;BIKE;Desistiu
673353;AutoCadastro;BIKE;Novo
132760;EmpresaParceira;MOTORCYCLE;Fiel
44818;AutoCadastro;MOTORCYCLE;Fiel
2557376;AutoCadastro;MOTORCYCLE;Fiel
2490643;EmpresaParceira;MOTORCYCLE;Fiel
261372;EmpresaParceira;MOTORCYCLE;Desistiu
136791;AutoCadastro;MOTORCYCLE;Fiel
291280;AutoCadastro;MOTORCYCLE;Desistiu
1640301;AutoCadastro;MOTORCYCLE;Fiel
369478;EmpresaParceira;MOTORCYCLE;Fiel
1794660;AutoCadastro;MOTORCYCLE;Desistiu
1035535;AutoCadastro;MOTORCYCLE;Fiel
2214028;EmpresaParceira;MOTORCYCLE;Fiel
5294757;EmpresaParceira;CAR;Desistiu
1097366;AutoCadastro;BIKE;Desistiu
1613320;AutoCadastro;BIKE;Desistiu
1356726;AutoCadastro;MOTORCYCLE;Desistiu
2241343;AutoCadastro;CAR;Novo
2324997;EmpresaParceira;MOTORCYCLE;Fiel
1330811;EmpresaParceira;BIKE;Novo
581941;EmpresaParceira;CAR;Desistiu
1083758;EmpresaParceira;MOTORCYCLE;Fiel
1814840;AutoCadastro;MOTORCYCLE;Desistiu
3266;EmpresaParceira;BIKE;Novo
5968;EmpresaParceira;BIKE;Novo
5456;EmpresaParceira;CAR;Desistiu
1824527;AutoCadastro;BIKE;Desistiu
100881;EmpresaParceira;MOTORCYCLE;Fiel
1299320;EmpresaParceira;MOTORCYCLE;Desistiu
2546841;EmpresaParceira;BIKE;Novo
106053;AutoCadastro;MOTORCYCLE;Desistiu
1525537;AutoCadastro;MOTORCYCLE;Desistiu
1870577;AutoCadastro;CAR;Desistiu
1039578;EmpresaParceira;MOTORCYCLE;Fiel
134898;AutoCadastro;MOTORCYCLE;Fiel
1591302;AutoCadastro;BIKE;Desistiu
5568172;EmpresaParceira;BIKE;Desistiu
47109;EmpresaParceira;MOTORCYCLE;Fiel
2684040;AutoCadastro;MOTORCYCLE;Fiel
50212;AutoCadastro;MOTORCYCLE;Desistiu
763553;AutoCadastro;BIKE;Desistiu
2126078;AutoCadastro;BIKE;Novo
563;EmpresaParceira;CAR;Desistiu
2036713;EmpresaParceira;MOTORCYCLE;Novo
1240367;AutoCadastro;MOTORCYCLE;Desistiu
3209;EmpresaParceira;BIKE;Novo
551340;EmpresaParceira;BIKE;Novo
4772;EmpresaParceira;CAR;Desistiu
1814594;EmpresaParceira;MOTORCYCLE;Desistiu
1904816;EmpresaParceira;MOTORCYCLE;Fiel
2471057;EmpresaParceira;MOTORCYCLE;Fiel
1314850;AutoCadastro;MOTORCYCLE;Fiel
943688;EmpresaParceira;MOTORCYCLE;Fiel
211364;EmpresaParceira;MOTORCYCLE;Desistiu
190552;EmpresaParceira;MOTORCYCLE;Fiel
